Title,Artist,Track ID,Tempo,Key,Loudness,Time Signature,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness
我想我会 - 《当我飞奔向你》影视剧片尾曲,尹露浠,4pqH3XBAw1qWi2On2y7wz0,130.0,C# Maj,-9.67,4/4,0.57,0.41,0.63,0.24,0.03,0.1,0.66,0.0
轻轻的夏天 - 《当我飞奔向你》影视剧插曲,尹露浠,0XflYu3bJEEb9VDjKFD5xd,130.0,G# Maj,-12.41,3/4,0.5,0.25,0.78,0.39,0.04,0.13,0.88,0.0
与你共赴,很美味,0fAPWLzwTGkL1k4YmK5fFR,120.0,A Maj,-8.75,4/4,0.49,0.56,0.75,0.69,0.03,0.16,0.38,0.0
Be Your Light(《偷偷藏不住》电视剧插曲 ),馬伯騫,4PfJJbmGkRT0eGaLtjPqt6,92.0,F min,-5.9,4/4,0.59,0.55,0.67,0.63,0.03,0.15,0.0,0.0
你（《时光与他，恰是正好》片头曲）,付思超,5scipmlTvCp5QapwQgXWiK,110.0,E Maj,-9.64,4/4,0.0,0.47,0.76,0.66,0.03,0.11,0.53,0.0
褪黑素,江皓南,1BjqQ4UYfV9bOKOvaLxi6n,148.0,A# min,-10.62,4/4,0.51,0.35,0.5,0.38,0.03,0.1,0.74,0.0
是你.,政學zedx,3fiXwwPL7cUvD7BqkHdN0J,82.0,F Maj,-11.77,4/4,0.55,0.21,0.63,0.71,0.03,0.07,0.74,0.0
没有理由,"杨胖雨, Lambert",6HyiR5NsthQQjxZNOnEoV2,176.0,D Maj,-6.14,4/4,0.54,0.63,0.52,0.32,0.27,0.5,0.51,0.0
荆棘中孤生的花 - 影视剧《惜花芷》主题曲,希林娜依•高,0a461vZllfrVyU485r3Rb1,176.0,G Maj,-7.67,4/4,0.47,0.57,0.47,0.25,0.03,0.09,0.12,0.0
小孩,罗森涛,6kyH1z6IdLo1GH3EcZXHMa,124.0,C# Maj,-8.32,3/4,0.63,0.33,0.86,0.38,0.06,0.2,0.77,0.0
迷失幻境,"IN-K, 王忻辰",1UbwQEeBGvmSsJrnfEoaU1,116.0,A Maj,-11.0,4/4,0.6,0.29,0.69,0.63,0.03,0.12,0.89,0.0
0321,space x,3e0ceoakrA8NNWFPhNDXCp,172.0,D Maj,-6.49,4/4,0.59,0.42,0.66,0.07,0.04,0.13,0.62,0.0
祝她越来越好,Aioz,1XxOAnHNSwETn8jFTLMmVs,100.0,A Maj,-7.21,4/4,0.54,0.5,0.62,0.33,0.03,0.12,0.88,0.0
有些,颜人中,3V2v19gDm4rmRkMwcgS4X2,126.0,G Maj,-7.53,4/4,0.7,0.54,0.68,0.37,0.04,0.08,0.74,0.0
Someday,Aioz,00RYSTsQgiNeIrcqOoS3FU,92.0,A# Maj,-9.41,4/4,0.52,0.41,0.67,0.4,0.03,0.1,0.21,0.0
喜欢你 - 说唱版,"斑恩Ben, 思遠AL",6CgA1dxzAZ0HO7dMYQgodi,128.0,A# Maj,-5.24,4/4,0.51,0.68,0.74,0.66,0.05,0.12,0.76,0.0
假裝沒變過,颜人中,0kWUppVLq3IIvXjq36v8EU,136.0,A Maj,-8.39,4/4,0.65,0.4,0.56,0.4,0.04,0.1,0.62,0.0
能遇見，就很不錯了,Firdhaus,2ASWo8MTESnHQhJhpMSPbF,116.0,G Maj,-9.59,4/4,0.64,0.22,0.47,0.37,0.03,0.11,0.86,0.0
爱怎么了,陈村长,0c9gjnRGBRke9VmLaZWmhM,130.0,G Maj,-6.0,4/4,0.7,0.61,0.57,0.44,0.03,0.16,0.72,0.0
这是你期盼的长大吗,ZQS,3AKYofM0vFekNthGbpjMpN,120.0,G# Maj,-8.56,4/4,0.68,0.5,0.64,0.52,0.03,0.13,0.68,0.0
白月光与朱砂痣 - 中英文版,"大籽, 嘿人李逵Noisemakers",4ZC1k5x3nAJi9E3esl5yLb,90.0,B Maj,-8.58,4/4,0.63,0.65,0.72,0.29,0.08,0.36,0.54,0.0
Jumping Machine (跳楼机),LBI利比,1XZE0InCx3SdCnLpVsPpZl,128.0,F# Maj,-7.98,4/4,0.82,0.53,0.6,0.35,0.03,0.17,0.66,0.0
烂片剧情,LBI利比,488IBZgAqHQmUDjg9kTQYG,130.0,F# Maj,-8.19,4/4,0.71,0.48,0.59,0.35,0.03,0.1,0.68,0.0
是你,梦然,7gYKASXibOLyet8JTBJOO2,123.0,D Maj,-8.21,4/4,0.68,0.53,0.69,0.15,0.03,0.08,0.82,0.01
像极了,Ryan.B,0UpHEi794wCm1QMSLV6J4M,105.0,A Maj,-5.11,4/4,0.63,0.64,0.66,0.66,0.04,0.08,0.07,0.0
